central,dialect,region,province,reading,pos,level,meaning,example,example_th,status,note
มอง,เบิ่ง,อีสาน,"ขอนแก่น,อุดรธานี,อุบลราชธานี",เบิ่ง,กริยา,ทั่วไป,ใช้สายตามอง,เบิ่งหยังอยู่กะซั่น,มองอะไรอยู่งั้นหรอ,ยืนยัน,อีสานใช้คำเฉพาะคือ เบิ่ง
มอง,ผ่อ,เหนือ,"เชียงใหม่,ลำพูน,เชียงราย",ผ่อ,กริยา,ทั่วไป,ใช้สายตามอง,ไปผ่อหนังตี้กาดหลวง,ไปดูหนังที่ตลาดใหญ่,ยืนยัน,เหนือใช้คำเฉพาะคือ ผ่อ
มอง,แล,ใต้,"นครศรีธรรมราช,สงขลา,สุราษฎร์ธานี",แล,กริยา,ทั่วไป,ใช้สายตามอง,ไปแลหนังลุงกันม่าย,ไปดูหนังตะลุงกันไหม,ยืนยัน,ใต้ใช้คำเฉพาะคือ แล
เดิน,เตียว,เหนือ,"เชียงใหม่,ลำพูน",เตี๋ยว,กริยา,ทั่วไป,เคลื่อนที่ด้วยเท้า,ไปเตียวตี้ไหนมา,ไปเดินที่ไหนมา,ยืนยัน,เชียงรายอาจใช้คำว่า ย่าง
เดิน,ย่าง,อีสาน,"ขอนแก่น,ร้อยเอ็ด",ย่าง,กริยา,ทั่วไป,เคลื่อนที่ด้วยเท้า,ย่างไปกาดเซ้า,เดินไปตลาดเช้า,ยืนยัน,อีสานนิยมใช้ ย่าง
อร่อย,แซ่บ,อีสาน,"ขอนแก่น,อุดรธานี",แซ่บ,วิเศษณ์,ทั่วไป,มีรสชาติดี ถูกปาก,ส้มตำจานนี้แซ่บหลาย,ส้มตำจานนี้อร่อยมาก,ยืนยัน,
อร่อย,ลำ,เหนือ,"เชียงใหม่,ลำพูน",ลำ,วิเศษณ์,ทั่วไป,มีรสชาติดี ถูกปาก,แกงฮังเลจานนี้ลำขนาด,แกงฮังเลจานนี้อร่อยมาก,ยืนยัน,
อร่อย,หรอย,ใต้,"นครศรีธรรมราช,พัทลุง",หรอย,วิเศษณ์,ทั่วไป,มีรสชาติดี ถูกปาก,แกงส้มจานนี้หรอยแรง,แกงส้มจานนี้อร่อยมาก,ยืนยัน,
บ้าน,เฮือน,"เหนือ,อีสาน","เชียงใหม่,ขอนแก่น",เฮือน,นาม,ทั่วไป,ที่อยู่อาศัย,เมือเฮือนกันเถอะ,กลับบ้านกันเถอะ,ยืนยัน,ใช้ร่วมกันทั้งเหนือและอีสาน
บ้าน,เริน,ใต้,"นครศรีธรรมราช,สงขลา",เริน,นาม,ทั่วไป,ที่อยู่อาศัย,กลับเรินกันตะ,กลับบ้านกันเถอะ,ยืนยัน,ใต้ใช้อักษร ร ออกเสียงสั้น
พูด,อู้,เหนือ,"เชียงใหม่,ลำพูน",อู้,กริยา,ทั่วไป,เปล่งเสียงเป็นถ้อยคำ,อู้กำเมืองกันกำ,พูดภาษาเหนือกันหน่อย,ยืนยัน,
พูด,เว้า,อีสาน,"ขอนแก่น,อุดรธานี",เว้า,กริยา,ทั่วไป,เปล่งเสียงเป็นถ้อยคำ,เว้าลาวให้อ้ายฟังแน,พูดภาษาอีสานให้พี่ฟังหน่อย,ยืนยัน,
พูด,แหลง,ใต้,"นครศรีธรรมราช,ตรัง",แหลง,กริยา,ทั่วไป,เปล่งเสียงเป็นถ้อยคำ,แหลงใต้ให้ฟังที,พูดภาษาใต้ให้ฟังหน่อย,ยืนยัน,
โกหก,ขี้จุ๊,เหนือ,"เชียงใหม่,ลำพูน",ขี้-จุ๊,กริยา,ทั่วไป,พูดไม่จริง,อย่ามาขี้จุ๊กันนะ,อย่ามาโกหกกันนะ,ยืนยัน,
โกหก,ขี้ตั๋ว,อีสาน,"ขอนแก่น,ร้อยเอ็ด",ขี้-ตั๋ว,กริยา,ทั่วไป,พูดไม่จริง,อย่ามาขี้ตั๋วอ้าย,อย่ามาโกหกพี่นะ,ยืนยัน,
โกหก,ขี้หก,ใต้,"นครศรีธรรมราช,สงขลา",ขี้-หก,กริยา,ทั่วไป,พูดไม่จริง,อย่ามาขี้หกกันตะ,อย่ามาโกหกกันเลย,ยืนยัน,
เท่าไหร่,กี่เพาะ,เหนือ,เชียงใหม่,กี่-เพาะ,คำถาม,ทั่วไป,ถามราคาหรือจำนวน,อันนี้ราคาเท่าไหร่,อันนี้ราคาเท่าไหร่,ยืนยัน,
เท่าไหร่,ทวิชา,อีสาน,ขอนแก่น,ทวิ-ชา,คำถาม,ทั่วไป,ถามราคาหรือจำนวน,จักบาทกะซั่น,กี่บาทกันล่ะ,ยืนยัน,ใช้อีกคำคือ จักบาท
